epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,382.651,1.18543,0.66925,1.17312,0.87722,0.83784,0.93949,0.57551,1.38967,1.08965,1.1039,0.0007328,0.0007328,0.0007328
66,389.092,1.26994,0.70866,1.13473,0.92264,0.87838,0.94964,0.60184,1.3132,0.84546,1.0577,0.000713,0.000713,0.000713
67,395.29,1.23396,0.71107,1.03566,0.92264,0.87838,0.94964,0.60184,1.3132,0.84546,1.0577,0.0006932,0.0006932,0.0006932
68,400.407,1.25875,0.72912,1.1127,0.94959,0.94595,0.96818,0.54395,1.49909,0.88658,1.12797,0.0006734,0.0006734,0.0006734
69,404.303,1.20212,0.72725,1.20465,0.94959,0.94595,0.96818,0.54395,1.49909,0.88658,1.12797,0.0006536,0.0006536,0.0006536
70,408.423,1.11376,0.66186,1.02297,0.94371,0.94595,0.97848,0.57311,1.42664,0.89762,1.09899,0.0006338,0.0006338,0.0006338
71,412.878,1.15321,0.65209,1.04215,0.94371,0.94595,0.97848,0.57311,1.42664,0.89762,1.09899,0.000614,0.000614,0.000614
72,416.882,1.18616,0.65007,1.06093,0.90803,0.93401,0.97324,0.60296,1.33243,0.80811,1.05712,0.0005942,0.0005942,0.0005942
73,421.997,1.03745,0.64262,1.13214,0.90803,0.93401,0.97324,0.60296,1.33243,0.80811,1.05712,0.0005744,0.0005744,0.0005744
74,427.504,1.04836,0.62327,1.08938,0.92541,0.94595,0.97525,0.62678,1.28312,0.71341,1.03522,0.0005546,0.0005546,0.0005546
75,432.522,1.22782,0.65261,1.04606,0.92541,0.94595,0.97525,0.62678,1.28312,0.71341,1.03522,0.0005348,0.0005348,0.0005348
76,437.796,1.09383,0.60514,1.02128,0.91387,0.93243,0.97257,0.60119,1.39193,0.73167,1.07729,0.000515,0.000515,0.000515
77,442.345,1.07877,0.64134,1.06988,0.91387,0.93243,0.97257,0.60119,1.39193,0.73167,1.07729,0.0004952,0.0004952,0.0004952
78,446.595,1.00882,0.58204,1.02652,0.9208,0.94267,0.98612,0.61882,1.34813,0.73363,1.06078,0.0004754,0.0004754,0.0004754
79,450.825,1.17339,0.60982,1.03072,0.9208,0.94267,0.98612,0.61882,1.34813,0.73363,1.06078,0.0004556,0.0004556,0.0004556
80,455.652,1.00237,0.58868,1.06712,0.94073,1,0.99174,0.64243,1.23646,0.66772,1.0237,0.0004358,0.0004358,0.0004358
81,460.859,1.18504,0.63279,1.05671,0.94073,1,0.99174,0.64243,1.23646,0.66772,1.0237,0.000416,0.000416,0.000416
82,466.497,1.0652,0.60939,1.10032,0.97285,0.96864,0.99277,0.64435,1.20221,0.64182,1.00861,0.0003962,0.0003962,0.0003962
83,472.381,1.23279,0.6989,1.1789,0.97285,0.96864,0.99277,0.64435,1.20221,0.64182,1.00861,0.0003764,0.0003764,0.0003764
84,478.191,1.12729,0.63317,1.06006,0.97177,0.97297,0.98823,0.63396,1.23315,0.61954,1.03096,0.0003566,0.0003566,0.0003566
85,482.62,0.97524,0.57323,1.07145,0.97177,0.97297,0.98823,0.63396,1.23315,0.61954,1.03096,0.0003368,0.0003368,0.0003368
86,487.473,1.01299,0.57288,0.99395,0.97354,0.99462,0.99393,0.63977,1.26701,0.60871,1.0423,0.000317,0.000317,0.000317
87,492.106,0.9889,0.5937,1.16862,0.97354,0.99462,0.99393,0.63977,1.26701,0.60871,1.0423,0.0002972,0.0002972,0.0002972
88,497.153,1.13962,0.61355,1.08955,0.97357,0.9956,0.99406,0.63963,1.26315,0.59242,1.03344,0.0002774,0.0002774,0.0002774
89,501.651,1.02539,0.59417,1.00332,0.97357,0.9956,0.99406,0.63963,1.26315,0.59242,1.03344,0.0002576,0.0002576,0.0002576
90,506.44,1.06132,0.56651,1.01931,0.97361,0.99709,0.9942,0.64625,1.2451,0.58807,1.01737,0.0002378,0.0002378,0.0002378
91,517.155,1.20741,0.59484,1.2004,0.97361,0.99709,0.9942,0.64625,1.2451,0.58807,1.01737,0.000218,0.000218,0.000218
92,522.953,0.96235,0.58459,1.08617,0.98156,1,0.99447,0.67147,1.16869,0.55807,0.99203,0.0001982,0.0001982,0.0001982
93,527.856,1.05215,0.57703,1.03744,0.98156,1,0.99447,0.67147,1.16869,0.55807,0.99203,0.0001784,0.0001784,0.0001784
94,533.087,1.02536,0.53237,1.05016,0.98344,1,0.99473,0.68598,1.11416,0.55723,0.98105,0.0001586,0.0001586,0.0001586
95,538.697,0.97452,0.53185,0.96918,0.98344,1,0.99473,0.68598,1.11416,0.55723,0.98105,0.0001388,0.0001388,0.0001388
96,543.631,0.91006,0.50422,1.02223,0.98461,1,0.99473,0.68514,1.11192,0.55043,0.9848,0.000119,0.000119,0.000119
97,547.815,0.95285,0.52857,1.0486,0.98461,1,0.99473,0.68514,1.11192,0.55043,0.9848,9.92e-05,9.92e-05,9.92e-05
98,552.147,0.9804,0.53389,0.9661,0.98487,1,0.99473,0.68569,1.10265,0.54416,0.98701,7.94e-05,7.94e-05,7.94e-05
99,556.272,0.95265,0.49015,0.9635,0.98487,1,0.99473,0.68569,1.10265,0.54416,0.98701,5.96e-05,5.96e-05,5.96e-05
100,560.499,0.97878,0.5112,1.05608,0.98463,1,0.99473,0.68685,1.09704,0.53471,0.98356,3.98e-05,3.98e-05,3.98e-05
